Αἰάκης	Æakès, (h.)
συνοικοδεσποτέω	présider à la naissance
συνοικουρός	qui garde la maison avec, qui vit avec
συνολισθαίνω	glisser ou tomber avec
συνομήθης	qui a ses habitudes avec, qui vit avec ou ensemble ; accoutumé à, habitué à ; habituel, ordinaire
συνομοπαθέω	être affecté de la même manière que
συνορατικός	qui embrasse d'un coup d'œil, perspicace, pénétrant
συνορμάς	???? Renvoi sans Issue ????
συνουσιασμός	commerce intime, union
συντέλεσις	achèvement, accomplissement
συνταγματαρχέω	être commandant d'une compagnie
συνταγματαρχία	commandement d'une compagnie
συντεκμηριόομαι	conjecturer d'après plusieurs indices, conclure de diverses indications
συντεχνίτης	artisan ou artiste collègue d'un autre
συντονολῡδιστί	sur le mode lydien renforcé
συντροχάω	???? Renvoi sans Issue ????
συνυπατεύω	être consul avec
συνόμαιμος	du même sang
συνόριον	situation limitrophe
συοκτασία	immolation d'un porc
συοφορβός	qui nourrit ou garde des porcs
συργάστωρ	qui traîne son ventre à terre (ver, reptile, serpent) ; qui a le ventre tiré, qui meurt de faim, homme de peine
συρικτής	joueur de flûte ou de chalumeau ; sifflant
συρισμός	sifflement (de serpents, etc.) ; action de siffler par moquerie
συσκηνόω	loger sous la même tente avec ; vivre ou manger ensemble
συσκιασμός	lieu couvert d'ombre
συσπαστός	qui peut se resserrer, se fermer
συσσίτησις	action de manger ensemble ; réunion de convives
συστάδην	en se tenant près l'un de l'autre, de près
συστένω	gémir avec
συστασία	action de réunir ou de se réunir
συστοναχέω	gémir avec
συστρεμματάρχης	commandant d'un corps de 1~024~hommes
συσφιγκτήρ	vêtement étroit
συφόρβιον	troupeau de porcs
συφός	étable à porcs
σφάγνος	mousse qui s'attache aux branches des arbres ; &gt; ἀσπάλαθος
σφάλος	entraves de bois pour des prisonniers
σφίγκτης	infâme débauché ; vers obscènes ; sorte de poisson ; pierre précieuse, perle
σφίγκτωρ	lien, bandeau
σφαγιάζω	immoler, sacrifier
σφαδάζω	s'agiter convulsivement, se débattre dans les convulsions ; bondir, s'agiter impétueusement ou avec violence ; trépigner de désir
σφαδασμός	convulsion, violente agitation
σφαιρίστρα	emplacement pour un jeu de paume
σφαιρεύς	éphèbe au moment où il entre dans la classe des hommes faits
σφαιρισμός	action de jouer à la balle
σφαλμέω	faire un faux pas, trébucher
σφαλός	entraves de bois pour des prisonniers
σφαῖρος	sphérique
σφενδικίζω	lancer avec la fronde ; frapper de la fronde
σφηκίας	coin ; vers dont les deux hémistiches ont un nombre de syllabes égal
σφηκοειδής	semblable à une guêpe, élancé, svelte, maigre ; aminci par le milieu
σφηκός	???? Renvoi sans Issue ????
σφιγγοκαρίων	le Carien qui parle par énigmes
σφογγίον	dim. de σπόγγος (éponge)
σφογγιά	???? Renvoi sans Issue ????
σφοδελός	plein d'asphodèles, où croissent les asphodèles
σφονδυλίς	berce
σφονδύλιος	vertèbre
σφρηγίζω	sceller, marquer d'un sceau ; marquer d'une empreinte
σφυδάω	être gonflé de suc, de sève ; être dans toute sa force ; éprouver des désirs ardents ou lascifs
σφυρίον	petit marteau, maillet
σφύξις	palpitation
σφῦρον	cheville du pied ; talon, pied
σχάω	&gt; σχάζω I ; &gt; σχάζω III
σχεδιάς	orcanette
σχετλῖάζω	se plaindre, être mécontent ou s'irriter
σχηματότης	forme
σχιζίον	dim. de σχίζα (morceau de bois fendu ; bifurcation)
σχοινάνθιον	sorte de jonc odorant
σχοινίλος	bruant des roseaux
σχοινεύς	sorte d'oiseau inconnu
σχοινοστρόφος	qui tresse une corde avec du jonc
σωκάριον	corde de jonc tressé, corde, cordage ; chaîne d'arpentage ; lot de terre mesuré au cordeau, part, portion ; le membre viril
σωλήνιον	dim. de σωλήν (canal, tuyau)
σωληνάριον	petit tuyau, petit tube
σωματοποιία	formation d'un corps ou de corps
σωματουργία	???? Renvoi sans Issue ????
σωματοφρουρητήρ	garde du corps
σωματώδης	qui a la forme ou la consistance d'un corps, corporel, matériel ; qui forme un corps, un ensemble
σωπάω	faire taire
σωρείτης	mis en monceau, formé par accumulation
σωρεός	tas, monceau (de blé, etc.)
σωφρονητικός	porté à la modération
σόος	élan, impétuosité
σόω	sauver
σύγγνοια	pardon
σύγκασις	sœur commune
σύγκοινος	commun à tous
σύγκυρσις	???? Renvoi sans Issue ????
σύγχρωτα	chair contre chair
σύμμικτος	mêlé ensemble, confondu ; uni à ; composé, formé d'un mélange
σύμμολπος	qui chante avec
σύμπρεσβυς	collègue pour une ambassade
σύναγκος	embranchement de plusieurs vallées ; fond d'une vallée où se réunissent les eaux des montagnes
σύναγχος	angine
σύνδορπος	qui mange avec
σύνθοινος	compagnon de table, convive
σύννεφος	couvert de nuages, nuageux, sombre
σύννους	qui réfléchit, pensif, méditatif ; prudent, circonspect, réfléchi ; préoccupé, soucieux, triste
σύνοδος1	compagnon ou compagne de voyage
σύνοχος	uni à, qui s'accorde avec ; continu, continuel
σύρα	fém. de Σύρος (Syrien)
σύρισμα	???? Renvoi sans Issue ????
σύριχος	panier, corbeille
σύρφαξ	tas d'immondices, ramassis de gens, populace
σώζω	conserver sain et sauf
σώσανδρον	dauphinelle ou pied d'alouette
σώω	conserver sain et sauf
σῑληνός	Silènos (Silène)
σῑμοπρόσωπος	au visage camard
σῖγμα	la lettre sigma
σῦλα	dépouille d'un temple ; nantissement, gage
σῦλον	dépouille d'un temple ; nantissement, gage
σῦμα	victime sacrifiée ; gâteau pour le sacrifice
τάνυσις	tension
τάπις	tapis, couverture
τάραχος	trouble, désordre
τάριχον	???? Renvoi sans Issue ????
τάριχος2	salaison ou conserve, viande ou poisson salés ou fumés ; corps embaumé, momie
τάρροθος	qui vient au secours de, protecteur ; vainqueur, maître
τάρσωμα	rangée de rames, mouvement des rames
τάτα	père
τάφρη	fosse, fossé
τάχιστος	vite, rapide
τέγη	toit ; tout édifice couvert
τέθμιος	prescrit par les lois divines, conforme aux lois divines, légitime ; fondateur des lois, des institutions
τέκταινα	fém. de τέκτων (ouvrier travaillant le bois, charpentier ou menuisier)
τέρεμνον	toit, maison, demeure
τέρθρεια	tour de charlatan, hâblerie, jonglerie ; argutie, subtilité
τέτραζυξ	attelé de quatre chevaux ; quadruple
τέτραπος	à quatre pieds, quadrupède
τέτρομος	tremblement, frisson ; tremblement de terre
τέτρωρος	attelé de quatre chevaux
τέττα	père
τέφρινος	de couleur cendrée, gris cendré
τήβεννος	manteau grec
τήνελλος	vainqueur acclamé par le cri
τίλφη	blatte ; mite
τίλων	sorte de poisson du lac Prasias
τίπτε	pourquoi enfin ?
τίτανις	chaux ; plâtre, gypse ; marbre, éclat de marbre
ταγηνίτης	frit ou grillé dans la poêle
ταγματαρχέω	commander une troupe
ταινιώδης	en forme de bandelette ou de ruban
ταλάσιος	qui concerne l'art de filer
ταλάφρων	à l'âme courageuse
ταλαιπώρησις	peine, fatigue, misère ; travail fatigant ; travail, exercice
ταλανισμός	lamentation
ταλαρίσκος	dim. de τάλαρος (objet pour porter)
ταλασιουργία	travail avec la laine, métier de fileuse
ταλαός	qui supporte patiemment ou avec courage ; qui prend sur soi, qui se charge, entreprenant, hardi, courageux
ταμίας	celui qui coupe, qui fait les parts
ταμεῖον	lieu où l'on serre les provisions, cellier, grenier, office ; lieu de dépôt du trésor public, trésor
ταμιεύτωρ	celui qui coupe, qui fait les parts
ταναγρίς	habitant ou originaire de Tanagra
ταναγραῖος	habitant ou originaire de Tanagra
ταναϋφής	d'un tissu fin et délicat
ταντάλεος	de Tantale
τανταλικός	de Tantale
τανυπτέρυγος	???? Renvoi sans Issue ????
τανυπτέρυξ	aux longues ailes, aux ailes déployées ou aux ailes rapides
τανυσίπτερος	aux longues ailes, aux ailes déployées ou aux ailes rapides
τανυσιπτέρυγος	???? Renvoi sans Issue ????
τανύθριξ	aux longs poils
τανύκνημος	aux longues jambes
τανύπους	aux jambes longues et grêles
τανύτριχος	aux longs poils
ταξιάρχης	commandant d'un corps d'armée
ταπήτιον	dim. de τάπης (tapis, couverture)
ταπρῶτα	d'abord, premièrement
ταράκτωρ	qui trouble, qui effraye
ταρίχιον	petit morceau de salaison (viande ou poisson)
ταρβοσύνη	effroi, crainte ; sujet de crainte ; respect
ταριχεία	salaison ; lieu où l'on sale
ταριχευτήρ	qui sale ou embaume
ταριχοπωλεῖον	marché aux salaisons
ταρπόνη	grande corbeille, panier, manne
ταρτημόριον	double un quart d'obole
ταυρογενής	né d'un taureau
ταυροδέτις	qui lie un taureau
ταυροφόνος	qui tue un taureau ou des taureaux
ταυρόκερως	aux cornes de taureau
ταυρώδης	qui ressemble à un taureau
ταυτολογέω	redire la même chose
ταυτοσυλλαβέω	avoir le même nombre de syllabes
ταχέως	vite, promptement, aussitôt
ταχινός	rapide, agile
ταχυβάτης	qui va vite, qui marche vite
ταχυεργής	prompt à exécuter, diligent
ταχύναυτέω	naviguer ou s'embarquer ou mettre à la voile promptement
ταχύποτμος	&gt; ταχύμορος ; qui apporte une mort prompte
ταχύτης	vitesse, rapidité, agilité
ταύρεος	de taureau
ταύτῃ	celui-ci, celle-ci, ceci ; ce ou cet, cette
ταὐτολογία	redite, tautologie
ταὐτόματον	ce qui se produit spontanément
ταῦ	la lettre
τείως	aussi longtemps, pendant tout le temps ; aussi longtemps que, tant que, tandis que
τεθμός	ce qui est posé, établi
τεθριπποβάμων	monté sur un char à quatre chevaux
τειχήεις	entouré de murs, de remparts
τειχισμός	construction d'un rempart, d'un ouvrage de défense
τειχοδόμος	qui construit un rempart, une forteresse
τειχύδριον	petite fortification
τεκνίον	dim. de τέκνον (enfant)
τεκνογόνος	qui procrée ou enfante
τεκνοκτόνος	qui tue ses enfants
τελέστωρ	celui qui initie aux mystères
τελαμωνίδιον	petit bandeau pour une blessure
τελεογονέω	enfanter à terme, produire en parfaite maturité
τελεοκαρπέω	amener un fruit ou des fruits à parfaite maturité
τελεσίδρομος	dont la course est achevée, accompli, parfait
τελεσσίνοος	qui accomplit son dessein
τελεσφόρος	qui mène à terme ; qui s'accomplit, qui se réalise
τελεόγονος	qui naît à terme, qui vient à maturité
τελωνητής	fermier public, percepteur d'impôts, publicain
τεμάχιον	petite tranche de poisson salé ; petit morceau
τενθρήνη	sorte d'abeille ou de guêpe (la suceuse)
τενοντόω	couper le cou
τερέβινθος	térébinthe
τερέτριον	dim. de τέρετρον (tarière)
τερατολόγος	qui raconte des histoires de choses extraordinaires ; au sujet de qui l'on raconte des choses prodigieuses
τερμινθίς	la térébenthine
τερπωλή	rassasiement, plénitude ; jouissance, charme, plaisir délicieux
τερσιά	claie pour sécher les figues ; &gt; ἅλως
τεσσαρακοντούτης	de quarante ans
τεσσαρεσκαιδεκαέτις	de quatorze ans
τετράδραχμον	tétradrachme
τετράενος	de quatre ans
τετράκερως	à quatre cornes
τετράκναμος	à quatre rayons
τετράοδος	croisement de quatre chemins, carrefour formé par le croisement de deux rues
τετράστοος	entouré de quatre galeries couvertes
τετράχους	qui contient quatre~
τετραγωνιαῖος	carré, quadrangulaire
τετραδαρχία	tétrarchie
τετρακίνη	« trois »
τετρακοτυλιαῖος	de quatre cotyles (un peu plus de cinq litres)
τετραμηνιαῖος	de quatre mois, qui dure quatre mois
τετραπαλαιστιαῖος	long, large, de quatre palmes
τετραπηχυαῖος	long, large, de quatre coudées
τετραπλασίων	quadruple
τετραπλασιεπίπεμπτος	quatre fois un cinquième aussi fort, comme 21~:~5
τετραπλασιεπίτριτος	quatre fois un tiers aussi fort, comme 13~:~3
