@Αἰάντειος	d'Ajax,	of Ajax
συναιχμάζω	aider de sa lance, combattre avec,	fight along with or together
συναιχμάλωτος	compagnon de captivité,	fellow-prisoner
συναιχμαλωτίζω	faire prisonnier avec ou ensemble,	take captive along with
συναιωρέομαι	être suspendu avec,	to be swayed with
συναιώρησις	suspension commune,	oscillation
συνακολασταίνω	se livrer au libertinage avec :	live dissolutely with
συνακρατίζομαι	déjeuner avec ou en même temps,	breakfast with
συνακροάομαι	écouter avec ou en même temps :	listen together, be a fellow-hearer
συνακτήρ	sorte de caleçon,	that which draws together, pair of drawers
συνακτός	amassé, recueilli,	collected
συνακόλουθος	qui est la conséquence de, corrélatif,	coupled with
συναλάομαι	errer ensemble,	roam together
συναλέω	réduire en poudre,	grind together
συναλίζω	rassembler, réunir,	@
συναλίσκομαι	être pris avec ou en même temps,	to be taken captive together
συναλγηδών	qui s'associe à une souffrance, à une douleur,	joint grief
συναλγύνω	émouvoir d'un même sentiment de pitié,	fill with compassion
συναλδής	qui croît avec,	growing together
συναλεαίνω	réchauffer ensemble,	help to warm
συναλητεύω	errer ensemble,	wander about with
συναλλαγή	échange de relations,	interchange
συναλλακτής	contractant, médiateur, négociateur,	mediator, negotiator
συναλλοιόω	changer ou modifier ensemble en même temps,	alter at the same time
συναλωνιάζω	célébrer la fête de la moisson,	keep the threshing festival together
συναλύω	errer ensemble,	wander about with
συναμάομαι	recueillir, réunir,	gather together
συναμαρτάνω	se tromper ensemble, être complice d'une faute,	sin along with or together
συναμιλλάομαι	lutter ensemble,	contend or struggle together
συναμπέχω	envelopper entièrement, cacher,	cover up together or closely, wrap up
συναμπρεύω	aider à tirer,	help in drawing
συναμφιάζω	envelopper ensemble,	envelop closely
συναμφότεροι	les uns et les autres ensemble, tous les deux ensemble, 	both together
συναμύνω	venir au secours de,	join in assisting
συνανάγνωσις	lecture générale d'un ouvrage ou des ouvrages d'un auteur,	reading together
συνανάκειμαι	se mettre à table avec,	recline together
συνανάμιξις	relations,	combination with another
συνανάχρωσις	action d'imprégner de la même couleur,	infecting contact
συνανέλκω	attirer avec ou ensemble,	draw up together
συνανίημι	relâcher ou laisser aller en même temps,	relax along with or together
συνανίσχω	see <lang="grc">συνανέχω</grc>	rise or spring forth together
συναναίρεσις	destruction ou disparition commune ou simultanée,	simultaneous abolition
συναναγιγνώσκω	lire avec,	read together
συναναγκασμός	preuve convaincante,	constraining proof
συναναγράφω	inscrire avec,	register or record at the same time
συναναγυμνόω	mettre à nu en même temps,	expose together
συναναδέχομαι	prendre en même temps sur soi,	undertake together
συναναδείκνυμι	déclarer ensemble ou en même temps,	proclaim together with
συναναζέω	faire bouillir avec,	make to boil together
συναναζεύγνυμι	lever le camp en même temps,	set out along with
συναναζητέω	rechercher avec,	search out with
συναναθρηνέω	se lamenter avec,	mourn over along with
συνανακίρνημι	see <lang="grc">συνανακεράννυμι</grc>	mix up with
συνανακεφαλαιόω	récapituler d'une manière générale,	sum up briefly
συνανακινέω	lever ou soulever ensemble,	stir up together
συνανακομίζω	restaurer ou rétablir avec, aider à rétablir,	help
συνανακρίνω	examiner avec,	examine together with
συνανακυλίομαι	se rouler avec,	roll along with
συνανακόπτω	refouler ou arrêter ensemble,	beat up together
συνανακύπτω	se relever, se redresser avec,	raise up the head along with
συναναλάμπω	briller avec,	shine forth together
συναναμέλπω	chanter ensemble,	sound with, sing with
συναναμαλάσσω	pétrir ensemble,	soften along with or together
συνανανεόομαι	restaurer ensemble ou en même temps,	join in renewing
συναναπάλλομαι	s'élancer ensemble,	fly forth along with
συναναπέμπω	renvoyer ou exhaler ensemble,	send up together
συναναπίμπλημι	remplir de,	infect
συναναπείθω	persuader en même temps :	assist in persuading
συναναπηδάω	s'élancer en même temps sur,	spring up along with
συναναπλάσσω	composer en même temps,	help in refashioning
συναναπράσσω	aider à recouvrer,	join in exacting payment
συναναρριπτέω	lancer ensemble,	throw up together
συναναρτάομαι	être étroitement joint,	to be closely connected
συνανασκάπτω	saper et renverser ensemble,	dig up besides
συνανασκευάζω	réfuter ensemble,	refute along with
συνανασκευή	réfutation avec,	joint refutation
συνανασπάω	retirer ensemble,	draw up together
συναναστομόω	avoir également son embouchure dans, déboucher également dans,	join by a mouth or opening
συνανασῴζω	aider à conserver ou à recouvrer,	restore along with
συνανατέλλω	se lever ou paraître avec ou en même temps que,	rise or grow up with
συνανατήκω	faire fondre ensemble ou avec,	melt with or together
συνανατολή	lever simultané de deux astres,	rising together
συνανατρέφω	nourrir ou élever avec,	rear along with
συνανατρέχω	courir autour avec,	run up along with
συναναφθέγγομαι	crier ensemble,	cry out at the same time
συναναφλέγω	faire brûler ensemble,	set fire to along with or together
συναναφύρω	pétrir avec,	knead or mix up together
συναναχέω	verser en même temps,	pour upon together with
συναναχαλάω	faire se relâcher,	relax at the same time
συναναχορεύω	participer à un chœur,	dance in chorus with
συναναχρέμπτομαι	cracher ou rejeter avec,	cough up together
συναναχρώννυμι	teindre de la même couleur ;	impart by mixture or contact
συναναχωρέω	retourner avec,	retire together
συνανδραγαθέω	lutter virilement ensemble,	behave bravely together
συνανδρόομαι	croître ou prendre de la force en même temps qu'on devient homme,	grow up along with
συνανείργω	contenir ou réprimer ensemble,	assist in repelling
συνανθέω	fleurir avec,	blossom together
συνανιάομαι	s'affliger avec, compatir à,	suffer affliction together
συνανιχνεύω	suivre ensemble ou en même temps la piste de,	track along with
συνανοιμώζω	gémir avec ou ensemble,	bewail together with
συναντλέω	épuiser ou supporter jusqu'au bout avec,	drain along with
συνανύτω	achever, cesser, finir,	come to an end together with
συνανύω	achever ou accomplir ensemble,	accomplish together
συναξιόω	juger plusieurs personnes ensemble dignes de,	join in thinking fit
συναορέω	accompagner,	accompany
συναπέρχομαι	s'en aller avec ou ensemble,	depart together with
συναπαίρω	lever la tente,	sail or march away together
συναπαρτισμός	corrélation,	consummatio
συναπατάω	tromper ensemble ou avec,	to be deceived along with
συναπειλέω	menacer en même temps,	threaten at the same time
συναπελαύνω	chasser ou faire disparaître ensemble,	drive away together
συναπευθύνω	corriger ou améliorer ensemble,	make straight together, help to guide
συναπεχθάνομαι	se brouiller ensemble,	become an enemy together
συναπλόω	déployer ensemble ou en même temps,	unfold together
συναποίχομαι	s'en aller ensemble ou avec,	to have gone away together
συναπογίγνομαι	disparaître en même temps,	to be absent together
συναπογεννάω	engendrer en même temps,	generate together
συναποδέρω	écorcher ou dépouiller avec,	skin together
συναποδίδωμι	rendre ensemble ou en même temps,	repay at the same time
συναποδείκνυμι	montrer ou démontrer avec,	demonstrate together
συναποδημέω	voyager en pays étranger avec :	go abroad or travel with
συναποδιδράσκω	s'enfuir ou s'échapper avec,	run away along with
συναποδοκιμάζω	désapprouver ou rejeter ensemble,	join in reprobating
συναποδύρομαι	déplorer avec ou ensemble,	lament together
συναποθεόω	déifier en même temps,	deify together
συναποικίζω	faire émigrer ensemble ou en même temps,	go as colonists together
συναποκάμνω	être fatigué ou épuisé en même temps,	cease from weariness together
συναποκαθίστημι	rétablir ensemble ou en même temps,	accompany
συναποκαλέω	appeler ensemble ou en même temps,	call by a name
συναποκατάστασις	révolution simultanée,	joint return
συναποκινδυνεύω	s'associer au danger de,	encounter danger along with
συναποκλείω	enfermer ensemble,	shut up altogether
συναποκλύζω	laver en même temps ou avec,	wash away with or at once
συναποκομίζω	emporter avec,	carry away together
συναποκρύπτω	cacher en même temps,	join in concealing
συναποκτείνω	tuer avec ou en même temps,	kill together
συναποκόπτω	retrancher avec,	cut off together
συναπολάμπω	briller avec ou en même temps que,	shine forth together
συναπολήγω	cesser ou se terminer avec, aboutir à,	cease along with
συναπολύω	relâcher en même temps,	release together
συναπομαλάσσω	amollir avec ou en même temps,	soften together
συναπονίναμαι	recueillir en même temps qqe avantage,	derive benefit from together
